Reporter Identifier	VALUE
A_51_P108948	2.6422606
A_51_P108973	-6.234537
A_51_P108978	1.2090769
A_51_P108990	-2.5193791
A_51_P109050	1.2358599
A_51_P109060	-6.3440247
A_51_P109097	-5.670654
A_51_P109099	-6.0460787
A_51_P109119	-6.383374
A_51_P109131	-6.411112
A_51_P109144	-1.5575318
A_51_P109171	3.4083185
A_51_P109258	-6.286433
A_51_P109274	-6.2357473
A_51_P109295	-6.3515162
A_51_P109298	-6.301075
A_51_P109326	-6.3249483
A_51_P109335	3.6400366
A_51_P109357	-6.2796474
A_51_P109364	0.061548233
A_51_P109369	-1.2391524
A_51_P109412	-6.275456
A_51_P109421	2.500183
A_51_P109439	-5.974389
A_51_P109449	-2.6370955
A_51_P109469	-4.757106
A_51_P109496	0.95307446
A_51_P109508	-2.6319942
A_51_P109541	0.2866602
A_51_P109548	-6.2612705
A_51_P109649	-6.2574015
A_51_P109668	0.43394566
A_51_P109692	-6.3152914
A_51_P109699	-6.3309455
A_51_P109708	-6.30529
A_51_P109741	0.041109085
A_51_P109742	-1.6901684
A_51_P109766	5.3237467
A_51_P109798	-6.2748976
A_51_P109828	5.919572
A_51_P109835	4.5961046
A_51_P109840	-5.4773736
A_51_P109864	-4.5411453
A_51_P109881	-2.045763
A_51_P109888	0.89344597
A_51_P109923	0.031570435
A_51_P109933	-3.2154422
A_51_P109939	4.814954
A_51_P109976	-5.19846
A_51_P110035	1.268342
A_51_P110068	1.6465378
A_51_P110081	-0.4140911
A_51_P110088	-6.224101
A_51_P110108	-1.2317152
A_51_P110147	2.863081
A_51_P110165	-4.4575896
A_51_P110168	-1.9663153
A_51_P110173	-0.9201479
A_51_P110189	-2.328493
A_51_P110220	-6.3129644
A_51_P110283	-6.263809
A_51_P110289	-6.2774477
A_51_P110301	-1.1741171
A_51_P110317	-6.319269
A_51_P110323	-6.320983
A_51_P110329	-5.3397975
A_51_P110341	-6.291971
A_51_P110371	-2.580451
A_51_P110381	-6.2906475
A_51_P110395	1.5889654
A_51_P110421	-6.2774177
A_51_P110455	4.548478
A_51_P110471	1.6535873
A_51_P110529	-5.0247383
A_51_P110547	-6.269036
A_51_P110576	3.2798643
A_51_P110618	-5.3350873
A_51_P110640	-6.24249
A_51_P110651	1.4154568
A_51_P110672	-6.254077
A_51_P110689	2.833702
A_51_P110699	-3.2452588
A_51_P110725	-4.878464
A_51_P110759	-6.2744536
A_51_P110791	-5.1705213
A_51_P110814	5.693116
A_51_P110830	-6.2341967
A_51_P110841	2.188509
A_51_P110863	-4.3590055
A_51_P110873	-6.24376
A_51_P110914	-4.6301847
A_51_P110931	0.72883415
A_51_P110938	-5.113004
A_51_P111003	0.15503025
A_51_P111018	-1.0974164
A_51_P111068	-3.7377982
A_51_P111094	-6.227646
A_51_P111143	4.7644777
A_51_P111164	-0.64761734
A_51_P111192	-4.8175926
A_51_P111210	3.585678
A_51_P111212	1.4443455
A_51_P111223	-6.084337
A_51_P111233	-6.3995075
A_51_P111245	0.16412163
A_51_P111259	2.003106
A_51_P111285	-3.8106966
A_51_P111293	-3.8660288
A_51_P111325	-6.2847295
A_51_P111335	-5.7417216
A_51_P111380	0.59778976
A_51_P111434	-6.063513
A_51_P111455	-0.6291094
A_51_P111462	2.293087
A_51_P111488	0.7329731
A_51_P111492	0.44990635
A_51_P111513	-6.239362
A_51_P111532	-5.507002
A_51_P111544	5.2271013
A_51_P111554	0.49923897
A_51_P111562	0.350955
A_51_P111583	2.359931
A_51_P111595	2.3693428
A_51_P111612	-2.7035055
A_51_P111655	-6.271252
A_51_P111669	-6.3107395
A_51_P111704	-6.250957
A_51_P111757	2.3813505
A_51_P111762	2.3637714
A_51_P111796	-0.3723173
A_51_P111902	-5.504044
A_51_P111907	-3.233585
A_51_P111936	3.1374512
A_51_P111950	-5.665289
A_51_P111952	4.5839186
A_51_P111962	-6.2452507
A_51_P112026	-6.281578
A_51_P112066	2.3587484
A_51_P112116	0.827158
A_51_P112151	-3.5661778
A_51_P112174	-1.9227676
A_51_P112182	-6.271887
A_51_P112203	0.007157326
A_51_P112223	1.8906364
A_51_P112237	-0.81462574
A_51_P112308	-4.0354238
A_51_P112319	-6.2842684
A_51_P112322	-0.4421177
A_51_P112355	2.134676
A_51_P112405	-1.3947062
A_51_P112427	-6.170949
A_51_P112445	2.484501
A_51_P112456	-6.0359516
A_51_P112465	-3.0363445
A_51_P112476	-4.6846204
A_51_P112518	-6.349122
