Reporter Identifier	VALUE
A_51_P112661	-1.0785141
A_51_P112662	1.6819496
A_51_P112677	2.2156
A_51_P112682	-2.8842487
A_51_P112734	1.1180983
A_51_P112762	-3.5849848
A_51_P112789	1.3582582
A_51_P112796	-6.525333
A_51_P112817	-6.3404303
A_51_P112833	-6.6193447
A_51_P112889	-6.4747334
A_51_P112912	1.0068884
A_51_P112932	-2.7341127
A_51_P112966	-2.1082711
A_51_P113003	2.0342798
A_51_P113026	-6.029124
A_51_P113033	-6.5331106
A_51_P113058	-1.7575097
A_51_P113068	-5.0259423
A_51_P113072	4.436165
A_51_P113106	-0.58509207
A_51_P113129	-6.5472746
A_51_P113137	-1.4314098
A_51_P113144	1.064928
A_51_P113162	-2.1263204
A_51_P113178	-4.3159227
A_51_P113182	-2.6315818
A_51_P113195	-5.3198404
A_51_P113205	-6.4667788
A_51_P113213	-6.4468784
A_51_P113222	2.724534
A_51_P113242	-4.3495827
A_51_P113274	1.5139666
A_51_P113321	-6.5316105
A_51_P113322	-6.5151324
A_51_P113335	-3.2523637
A_51_P113395	0.66682625
A_51_P113399	0.6196203
A_51_P113403	0.73378944
A_51_P113430	0.7253542
A_51_P113475	-3.7833452
A_51_P113518	-6.5157175
A_51_P113527	5.899974
A_51_P113550	-5.0153866
A_51_P113588	-1.6212573
A_51_P113672	-2.61758
A_51_P113722	3.0388756
A_51_P113747	3.8557053
A_51_P113753	-4.317251
A_51_P113769	-1.4876075
A_51_P113773	-0.40456152
A_51_P113784	1.9717512
A_51_P113806	-3.4728465
A_51_P113825	-4.127334
A_51_P113865	-6.5043135
A_51_P113890	-6.4686704
A_51_P113906	-5.8066688
A_51_P113973	-6.6122093
A_51_P114002	-1.8195109
A_51_P114005	-3.3578043
A_51_P114028	2.3552437
A_51_P114037	-5.2065077
A_51_P114049	5.0529814
A_51_P114062	-3.1141028
A_51_P114067	-6.5484414
A_51_P114094	3.8308144
A_51_P114126	-4.160527
A_51_P114136	2.1534777
A_51_P114148	-4.9995437
A_51_P114177	3.0563354
A_51_P114214	-1.9586606
A_51_P114222	-5.0364213
A_51_P114236	0.006009102
A_51_P114274	-0.074212074
A_51_P114287	1.9796467
A_51_P114297	2.6030903
A_51_P114307	-0.17706203
A_51_P114314	0.13408852
A_51_P114336	-2.001525
A_51_P114348	-6.5284934
A_51_P114353	-0.10094643
A_51_P114372	0.1458931
A_51_P114385	4.343197
A_51_P114403	-5.6235714
A_51_P114407	1.8095655
A_51_P114456	-3.121564
A_51_P114462	-3.9135752
A_51_P114472	0.026144028
A_51_P114504	-4.9213905
A_51_P114533	-6.563997
A_51_P114551	0.2900858
A_51_P114563	3.3390245
A_51_P114577	-4.2762012
A_51_P114591	2.7784958
A_51_P114606	-1.9707694
A_51_P114616	0.6089697
A_51_P114634	-1.239491
A_51_P114693	-0.7775183
A_51_P114714	-0.47265434
A_51_P114722	-6.54269
A_51_P114772	-1.5764318
A_51_P114797	-5.9758115
A_51_P114817	-4.2344055
A_51_P114826	0.77792835
A_51_P114843	-1.9880915
A_51_P114854	2.6422606
A_51_P114878	0.56709385
A_51_P114900	-6.4987965
A_51_P114910	3.9822912
A_51_P114917	-5.9176264
A_51_P114941	-2.992423
A_51_P114966	-0.43816423
A_51_P115005	-5.106406
A_51_P115018	-1.3283815
A_51_P115027	0.51134205
A_51_P115049	-3.6687074
A_51_P115085	2.0763712
A_51_P115093	-0.17907524
A_51_P115098	-1.1189408
A_51_P115139	-3.3984828
A_51_P115147	-6.5255637
A_51_P115159	6.4479694
A_51_P115178	-6.200984
A_51_P115192	-4.665133
A_51_P115197	-2.240656
A_51_P115229	-3.6343122
A_51_P115244	-6.487933
